"symbol"	"ensembl_gene_id"	"entrez_id"
"BEST1"	"ENSG00000167995"	7439
"BEST4"	"ENSG00000142959"	266675
"BET1L"	"ENSG00000177951"	51272
"BGLAP"	"ENSG00000242252"	632
"BHLHE41"	"ENSG00000123095"	79365
"BICC1"	"ENSG00000122870"	80114
"BICD1"	"ENSG00000151746"	636
"BIN2"	"ENSG00000110934"	51411
"BIRC2"	"ENSG00000110330"	329
"BIRC3"	"ENSG00000023445"	330
"BLID"	"ENSG00000259571"	414899
"BLNK"	"ENSG00000095585"	29760
"BLOC1S1"	"ENSG00000135441"	2647
"BLOC1S2"	"ENSG00000196072"	282991
"BLZF1"	"ENSG00000117475"	8548
"BMP8A"	"ENSG00000183682"	353500
"BMP8B"	"ENSG00000116985"	656
"BMPR1A"	"ENSG00000107779"	657
"BMS1"	"ENSG00000165733"	9790
"BNIP3"	"ENSG00000176171"	664
"BNIPL"	"ENSG00000163141"	149428
"BOLA1"	"ENSG00000178096"	51027
"BORCS5"	"ENSG00000280689"	118426
"BORCS5"	"ENSG00000165714"	118426
"BORCS7"	"ENSG00000166275"	119032
"BPNT1"	"ENSG00000162813"	10380
"BRDT"	"ENSG00000137948"	676
"BRINP2"	"ENSG00000198797"	57795
"BRINP3"	"ENSG00000162670"	339479
"BRMS1"	"ENSG00000174744"	25855
"BROX"	"ENSG00000162819"	148362
"BRSK2"	"ENSG00000174672"	9024
"BSCL2"	"ENSG00000168000"	26580
"BSDC1"	"ENSG00000160058"	55108
"BSND"	"ENSG00000162399"	7809
"BSX"	"ENSG00000188909"	390259
"BTAF1"	"ENSG00000095564"	9044
"BTBD10"	"ENSG00000148925"	84280
"BTBD16"	"ENSG00000138152"	118663
"BTBD18"	"ENSG00000233436"	643376
"BTBD19"	"ENSG00000222009"	149478
"BTBD8"	"ENSG00000189195"	284697
"BTF3L4"	"ENSG00000134717"	91408
"BTG2"	"ENSG00000159388"	7832
"BTG4"	"ENSG00000137707"	54766
"BTRC"	"ENSG00000166167"	8945
"BUB3"	"ENSG00000154473"	9184
"BUD13"	"ENSG00000137656"	84811
"C10orf105"	"ENSG00000214688"	414152
"C10orf120"	"ENSG00000183559"	399814
"C10orf53"	"ENSG00000178645"	282966
"C10orf62"	"ENSG00000203942"	414157
"C10orf67"	"ENSG00000179133"	256815
"C10orf71"	"ENSG00000177354"	118461
"C10orf82"	"ENSG00000165863"	143379
"C10orf88"	"ENSG00000119965"	80007
"C10orf90"	"ENSG00000154493"	118611
"C10orf95"	"ENSG00000120055"	79946
"C10orf99"	"ENSG00000188373"	387695
"C11orf1"	"ENSG00000137720"	64776
"C11orf16"	"ENSG00000176029"	56673
"C11orf21"	"ENSG00000110665"	29125
"C11orf24"	"ENSG00000171067"	53838
"C11orf40"	"ENSG00000171987"	143501
"C11orf42"	"ENSG00000180878"	160298
"C11orf45"	"ENSG00000174370"	NA
"C11orf49"	"ENSG00000149179"	79096
"C11orf53"	"ENSG00000150750"	341032
"C11orf54"	"ENSG00000182919"	28970
"C11orf58"	"ENSG00000110696"	10944
"C11orf65"	"ENSG00000166323"	160140
"C11orf68"	"ENSG00000175573"	83638
"C11orf71"	"ENSG00000180425"	54494
"C11orf80"	"ENSG00000173715"	79703
"C11orf86"	"ENSG00000173237"	254439
"C11orf87"	"ENSG00000185742"	399947
"C11orf91"	"ENSG00000205177"	100131378
"C11orf94"	"ENSG00000234776"	143678
"C11orf95"	"ENSG00000188070"	65998
"C11orf96"	"ENSG00000187479"	387763
"C11orf98"	"ENSG00000278615"	102288414
"C12orf4"	"ENSG00000047621"	57102
"C12orf40"	"ENSG00000180116"	283461
"C12orf54"	"ENSG00000177627"	121273
"C12orf57"	"ENSG00000111678"	113246
"C12orf60"	"ENSG00000182993"	144608
"C12orf71"	"ENSG00000214700"	728858
"C1orf100"	"ENSG00000173728"	200159
"C1orf105"	"ENSG00000180999"	92346
"C1orf109"	"ENSG00000116922"	54955
"C1orf112"	"ENSG00000000460"	55732
"C1orf115"	"ENSG00000162817"	79762
"C1orf116"	"ENSG00000182795"	79098
"C1orf122"	"ENSG00000197982"	127687
"C1orf127"	"ENSG00000175262"	148345
"C1orf131"	"ENSG00000143633"	128061
"C1orf141"	"ENSG00000203963"	400757
"C1orf146"	"ENSG00000203910"	388649
"C1orf158"	"ENSG00000157330"	93190
"C1orf159"	"ENSG00000131591"	54991
"C1orf162"	"ENSG00000143110"	128346
"C1orf167"	"ENSG00000215910"	284498
"C1orf174"	"ENSG00000198912"	339448
"C1orf185"	"ENSG00000204006"	284546
"C1orf189"	"ENSG00000163263"	388701
"C1orf194"	"ENSG00000179902"	127003
"C1orf198"	"ENSG00000119280"	84886
"C1orf21"	"ENSG00000116667"	81563
"C1orf210"	"ENSG00000253313"	149466
"C1orf216"	"ENSG00000142686"	127703
"C1orf226"	"ENSG00000239887"	400793
"C1orf35"	"ENSG00000143793"	79169
"C1orf43"	"ENSG00000143612"	25912
"C1orf50"	"ENSG00000164008"	79078
"C1orf52"	"ENSG00000162642"	148423
"C1orf53"	"ENSG00000203724"	388722
"C1orf54"	"ENSG00000118292"	79630
"C1orf56"	"ENSG00000143443"	54964
"C1orf68"	"ENSG00000198854"	100129271
"C1orf74"	"ENSG00000162757"	148304
"C1orf87"	"ENSG00000162598"	127795
"C1orf94"	"ENSG00000142698"	84970
"C1QA"	"ENSG00000173372"	712
"C1QB"	"ENSG00000173369"	713
"C1QC"	"ENSG00000159189"	714
"C1QL3"	"ENSG00000165985"	389941
"C1QL4"	"ENSG00000186897"	338761
"C1QTNF12"	"ENSG00000184163"	388581
"C1QTNF4"	"ENSG00000284838"	114900
"C1QTNF4"	"ENSG00000172247"	114900
"C1R"	"ENSG00000288512"	715
"C1R"	"ENSG00000159403"	715
"C1RL"	"ENSG00000288124"	51279
"C1RL"	"ENSG00000139178"	51279
"C1S"	"ENSG00000182326"	716
"C2CD2L"	"ENSG00000172375"	9854
"C2CD3"	"ENSG00000168014"	26005
"C2CD4D"	"ENSG00000225556"	100191040
"C2CD5"	"ENSG00000111731"	9847
"C3AR1"	"ENSG00000171860"	719
"C4BPA"	"ENSG00000123838"	722
"C4BPB"	"ENSG00000123843"	725
"C8A"	"ENSG00000157131"	731
"C8B"	"ENSG00000021852"	732
"CA14"	"ENSG00000118298"	23632
"CA6"	"ENSG00000131686"	765
"CABCOCO1"	"ENSG00000183346"	219621
"CABP2"	"ENSG00000167791"	51475
"CABP4"	"ENSG00000175544"	57010
"CACHD1"	"ENSG00000158966"	57685
"CACNA1C"	"ENSG00000285479"	775
"CACNA1C"	"ENSG00000285479"	100874369
"CACNA1C"	"ENSG00000151067"	775
"CACNA1C"	"ENSG00000151067"	100874369
"CACNA1E"	"ENSG00000198216"	777
"CACNA1S"	"ENSG00000081248"	779
"CACNA2D4"	"ENSG00000284953"	93589
"CACNA2D4"	"ENSG00000151062"	93589
"CACNB2"	"ENSG00000165995"	783
"CACNB3"	"ENSG00000167535"	784
"CACUL1"	"ENSG00000151893"	143384
"CACYBP"	"ENSG00000116161"	27101
"CADM1"	"ENSG00000182985"	23705
"CADM3"	"ENSG00000162706"	57863
"CALCA"	"ENSG00000110680"	796
"CALCB"	"ENSG00000175868"	797
"CALCOCO1"	"ENSG00000012822"	57658
"CALHM1"	"ENSG00000185933"	255022
"CALHM2"	"ENSG00000138172"	51063
"CALHM3"	"ENSG00000183128"	119395
"CALML3"	"ENSG00000178363"	810
"CALML5"	"ENSG00000178372"	51806
"CALML6"	"ENSG00000169885"	163688
"CALY"	"ENSG00000130643"	50632
"CAMK1D"	"ENSG00000183049"	57118
