GeneA GeneB
7076 80758
4943 399473
57082 54014
4123 7574
6615 55011
27344 10432
6862 6550
378925 375612
91369 1856
286053 285636
165904 64856
7574 2060
10798 6698
159989 3914
128367 200312
338376 25789
389084 93081
64129 64856
84904 66035
646498 55194
6861 494470
57688 9755
727800 4920
29946 53822
149420 6861
138802 343521
113246 55048
6671 140679
6878 11152
6253 79009
10857 27253
200403 204962
55809 8994
26053 22907
390259 30846
100529097 55888
399473 10430
23373 6790
134145 8574
23208 448834
53917 1396
84249 6185
55584 23401
55422 9666
64946 10168
56121 725
401115 54958
56971 27042
6932 284451
155061 6494
2199 389084
10858 57715
222183 9411
8341 23094
3198 6861
51754 80757
2670 93979
56993 7574
1032 84687
285349 79009
375612 8445
661 93081
7425 84437
7552 89792
5294 57216
79657 196528
390010 57213
54920 4692
8341 84249
27112 54850
22836 10858
10098 256933
79921 122809
56985 54663
23787 7423
390162 10169
26245 84668
1821 222950
203197 51230
151056 374879
53344 64375
57677 79697
58506 10661
81887 25789
65083 283849
8242 345462
138716 197131
26517 57549
8629 7226
9253 7574
55183 55791
579 9755
147040 9498
60506 3217
79979 84255
222183 79004
7538 125150
26059 3229
23133 85438
6943 7699
6949 79324
8648 246329
2719 4799
10385 1004
26696 1811
6418 51181
8439 79948
128434 162979
85438 122970
8484 57649
51291 23401
134957 5986
8330 51127
6567 55624
7791 29930
8330 56944
1649 23334
100271849 127396
100170841 23554
8175 9349
402665 81603
5023 10489
1649 22882
10124 115708
5716 26049
25959 343521
7349 58158
2956 64856
92002 146547
30846 9129
10858 7170
22996 51127
71 6231
393 9221
25802 5999
54881 2196
339453 10907
10849 55911
548645 4298
221416 378884
375704 118472
5292 23154
6217 9028
23139 23334
161176 5999
390637 64112
91179 84667
57369 57216
261729 23401
51691 2101
57152 796
7223 5333
5010 2256
55272 81629
391107 113263
4223 6231
91975 57462
114770 84467
2824 3229
220988 10076
200312 9139
653437 10196
119772 84302
4692 54780
346157 8443
23194 11318
11176 121274
27328 5792
55802 92002
